edad,ingreso_anual,deuda_total,historial_crediticio,num_prestamos_activos,ratio_deuda_ingreso,num_retrasos_12m,empleo_estable,tipo_vivienda,num_tarjetas_credito,consultas_crediticias_6m,estado_civil,riesgo_alto
35,53926.34013503627,11051.419098786475,9,1,0.4086925292156743,0,Si,Hipoteca,1,3,Casado,0
64,77048.55149352123,8254.786314512956,0,2,0.4011173047801304,0,Si,Alquiler,6,3,Casado,0
70,74888.31172707702,54995.151430959115,22,3,0.26549000557604585,0,No,Propia,2,4,Divorciado,0
41,70401.82108484619,51795.74028408334,22,4,0.3212249171857456,2,Si,Hipoteca,2,2,Casado,0
43,48144.72553626523,51450.414283545426,27,4,0.32603150683130494,2,Si,Propia,2,1,Soltero,0
42,77186.60435078743,28612.432661193416,15,4,0.090080503223807,0,Si,Alquiler,4,1,Casado,0
62,73104.04559639757,67840.23539979392,3,1,0.14070960234018687,1,Si,Alquiler,3,2,Casado,0
58,39434.160981961046,29550.620466508655,8,2,0.4376292648581202,2,Si,Propia,4,2,Casado,0
46,66914.95041539619,47257.523477994815,27,4,0.6136291880212588,1,Si,Alquiler,2,1,Casado,0
32,36601.02136476771,2227.559709300316,17,1,0.5573495263048515,0,Si,Propia,6,2,Casado,0
62,63500.605790423055,25405.29337004299,28,1,0.0,1,No,Propia,3,1,Casado,0
18,17522.08389247332,26883.578888523665,16,1,0.6480035675921969,0,Si,Hipoteca,2,2,Casado,1
42,19444.704783176963,28690.249239567704,14,0,0.6602037245912364,2,Si,Propia,2,4,Casado,1
24,76455.17617359769,3490.0206400862808,18,3,0.2505998719327298,3,Si,Propia,2,2,Casado,1
26,73439.00305511913,44077.61855648515,6,2,0.2544516009983301,3,Si,Alquiler,7,3,Soltero,0
41,65840.28851439578,50572.20622606756,24,2,0.2964642864757401,0,No,Hipoteca,2,1,Casado,0
18,52199.22052632076,15122.812217541688,17,1,0.46634881737405615,0,No,Alquiler,3,2,Casado,0
61,15000.0,7053.169673573415,5,3,0.3393088919369162,1,Si,Hipoteca,1,4,Casado,0
25,48128.10154483776,14621.16750212155,18,1,0.4778229122716028,1,Si,Hipoteca,0,2,Casado,0
41,61354.57917974595,39909.97338280362,20,2,0.13954197788661726,1,No,Alquiler,1,1,Casado,0
28,36631.66881101021,18067.932901832908,11,3,0.18564878927136094,1,Si,Alquiler,0,6,Casado,0
68,32187.64517979406,27318.69500727248,24,2,0.2248805391452093,1,Si,Propia,4,1,Casado,0
34,86110.50970384228,8530.785105946095,2,3,0.23663090712065404,1,Si,Alquiler,2,2,Soltero,0
25,48492.77521520971,69585.72811002927,0,0,0.48547546345285447,0,Si,Hipoteca,3,0,Casado,0
52,61369.87924105951,31463.972563255662,4,2,0.449151420381921,1,No,Hipoteca,4,4,Casado,0
52,69353.28654048413,52994.306584532605,0,2,0.5316693887196507,0,No,Propia,5,1,Soltero,1
50,24964.073087373057,39863.39668477673,7,1,0.6163305201731433,0,Si,Hipoteca,5,1,Casado,1
22,54830.185567854845,29162.39890069862,6,2,0.47887240649884044,2,Si,Hipoteca,3,4,Soltero,0
59,82991.1123619325,28126.753502214444,14,1,0.04355125600714721,0,Si,Propia,1,0,Casado,0
56,95480.57958249302,15495.126467244296,10,4,0.31642943642178184,0,No,Alquiler,3,2,Soltero,0
58,50998.40993036726,20990.736982325492,17,0,0.3434177513634218,0,No,Hipoteca,2,5,Divorciado,0
45,44051.41131632314,9843.95336802991,13,0,0.4515719613455227,2,Si,Propia,3,4,Casado,0
24,56725.60170343833,7662.680561341102,26,3,0.21129030051132602,2,No,Propia,1,1,Casado,0
26,56090.92617568803,71727.50835102703,8,1,0.6959965060173618,0,Si,Alquiler,3,3,Soltero,0
25,84668.95165327884,35578.247301638854,4,3,0.31973085529543843,1,Si,Propia,4,0,Soltero,0
29,25090.20777082332,59314.344834081196,22,1,0.3338429499610006,1,Si,Alquiler,0,2,Soltero,1
51,43003.17284584946,14118.754859279561,3,2,0.3608858398274919,2,Si,Propia,2,1,Casado,0
50,22071.46682808724,4967.928150705116,11,1,0.2969027743132653,0,Si,Alquiler,0,3,Soltero,0
65,24697.62785506057,10444.43578082298,28,3,0.05295523555416376,3,Si,Hipoteca,2,3,Casado,1
72,59414.350378478106,21558.56229820608,0,0,0.648216844384099,1,Si,Hipoteca,2,1,Divorciado,1
40,70246.44604092566,30729.9986365232,29,2,0.27305736202573194,1,Si,Propia,4,3,Casado,0
41,33765.20765640637,26981.267663120143,23,1,0.5259672324860456,1,Si,Hipoteca,1,4,Casado,0
54,69302.36972438224,14536.18063026743,12,4,0.31492573384838485,1,Si,Alquiler,5,3,Casado,0
52,77789.4664282992,31754.300186355278,0,1,0.2741743260875724,1,Si,Hipoteca,2,1,Casado,0
61,98367.64996083475,33507.72249079894,2,4,0.1510079897741636,1,Si,Propia,4,1,Casado,0
57,51743.67122102623,44045.528551031566,21,5,0.0437012133379403,1,No,Alquiler,5,4,Casado,0
39,34005.88681389667,59408.64606025076,7,3,0.3109330376084982,0,Si,Propia,5,2,Divorciado,0
44,24938.20170985263,22722.124209821537,23,0,0.30245954255856466,0,Si,Alquiler,6,1,Soltero,1
52,22455.17005200266,54309.611872692636,17,3,0.6872445422078971,1,Si,Propia,2,1,Casado,1
18,81244.51753509017,31318.75186855974,24,0,0.4143563281727449,0,Si,Hipoteca,0,2,Soltero,0
52,15000.0,0.0,15,1,0.6283080764076372,2,Si,Alquiler,2,4,Casado,1
54,80443.71214128,65665.41620791674,19,4,0.09962210226674306,1,Si,Hipoteca,1,3,Casado,0
64,28288.974268696278,75450.72883799381,19,2,0.41036939009589707,0,Si,Alquiler,3,2,Casado,0
31,32869.84505351486,42381.92956103102,29,1,0.5101409369696149,0,Si,Propia,2,3,Soltero,1
20,46211.113624750506,31795.69928838263,15,1,0.4224496811978392,5,Si,Propia,4,5,Soltero,0
18,32408.63626083722,24571.898796710066,1,0,0.4300305142023252,2,Si,Alquiler,1,2,Casado,0
22,73299.49387398938,20721.040610311837,16,3,0.3501119756750671,1,Si,Hipoteca,6,3,Divorciado,0
43,95333.59879956939,54214.02506295033,9,1,0.16113268762456362,0,Si,Hipoteca,5,3,Casado,0
72,33564.19606117155,29654.535239036544,6,2,0.12670419252114334,0,Si,Hipoteca,3,3,Casado,0
31,39194.05402088433,63478.79594489537,26,4,0.5413342594722058,2,No,Alquiler,0,3,Casado,1
56,45916.97981790254,30697.24830658331,9,1,0.2678767832452209,0,Si,Propia,6,5,Soltero,0
44,63526.419087315946,21753.06613153185,18,1,0.3147322543934622,0,No,Propia,5,2,Casado,0
26,46162.893026103586,17973.99070976535,19,4,0.2678352918731624,0,Si,Hipoteca,2,1,Soltero,0
32,84681.43527631489,15125.67829411004,26,1,0.22131290615784727,0,Si,Propia,3,0,Casado,0
32,78665.59791404818,40282.91652812092,8,5,0.10749056310405086,0,Si,Propia,4,0,Soltero,0
43,20363.441160122497,4110.13290283977,21,3,0.7072085758516516,0,Si,Alquiler,2,4,Casado,1
59,63024.20413937072,13633.250333274935,29,2,0.0,2,No,Propia,6,1,Casado,0
30,88008.48093273757,56489.652516821414,16,0,0.5375732310505077,1,Si,Alquiler,5,2,Divorciado,0
68,37630.476355827916,10909.013783510443,8,2,0.6177743391700501,2,Si,Propia,3,3,Casado,0
49,42643.37820516108,47254.098439800335,8,3,0.42829002183487447,0,Si,Propia,3,2,Casado,0
56,36799.07505367612,0.0,4,3,0.3650039916445885,1,Si,Propia,6,1,Casado,0
66,37323.109611912354,59001.74084351504,23,1,0.44658375984781395,0,No,Hipoteca,0,2,Soltero,1
69,15000.0,4595.363219449071,6,2,0.32018104261491687,1,No,Alquiler,2,4,Casado,0
49,16792.126213373733,12472.125130504824,10,0,0.5965248631395821,4,Si,Propia,6,2,Soltero,1
21,51936.84296843075,43606.85155972651,7,1,0.6239020261397786,0,Si,Propia,5,1,Casado,0
47,87839.94936631946,35408.162684160976,24,4,0.508471538520658,2,Si,Hipoteca,2,4,Soltero,0
54,34665.97968704293,47899.74872189615,13,3,0.0698443641552089,3,No,Alquiler,3,1,Casado,1
40,33931.06742628605,4434.747414848498,1,1,0.5350197385622861,0,Si,Alquiler,4,3,Soltero,0
56,92538.02676051838,24263.891813329217,9,1,0.6566877366685384,1,No,Alquiler,2,4,Soltero,0
62,22293.563454600328,17658.435815791257,20,0,0.5216450617549491,0,Si,Alquiler,3,1,Divorciado,0
32,15000.0,7796.224036951531,23,3,0.5970237503803829,2,Si,Hipoteca,4,3,Casado,1
60,29287.114096562505,41917.949170407315,15,1,0.2541314692198219,0,No,Hipoteca,6,4,Casado,1
46,33430.38803014085,48861.02893213591,15,1,0.3051699550737479,0,No,Propia,3,0,Casado,1
53,15000.0,23262.67589918933,18,1,0.6620626159655647,0,Si,Hipoteca,3,5,Casado,1
30,46798.957343134716,60454.225985923404,26,1,0.5331497305262773,1,Si,Hipoteca,3,0,Casado,1
49,73711.1587465384,14285.995582433146,10,0,0.35055582254631723,1,Si,Alquiler,1,1,Soltero,0
24,17851.130657129343,59969.346482740824,5,1,0.3456145140678601,0,Si,Alquiler,4,1,Divorciado,1
68,52189.45547383973,41244.78119516531,5,2,0.4038804875919658,1,Si,Hipoteca,4,2,Soltero,0
39,59898.39189066933,5528.6562904997845,6,0,0.3403635375172115,1,No,Hipoteca,3,2,Casado,0
45,47915.393118142674,69630.48534165337,15,2,0.4011266376764296,0,Si,Propia,3,2,Casado,0
19,54642.314743526484,21110.449336179452,12,2,1.0,0,Si,Alquiler,3,0,Casado,0
59,54933.18156488027,54102.354792289014,26,0,0.259249605948092,1,Si,Hipoteca,1,3,Casado,0
62,29681.8010770392,32912.98243859265,2,4,0.04126464593681228,3,Si,Alquiler,1,7,Soltero,1
74,87464.56430029671,37488.82448903663,23,1,0.2674822747492851,2,Si,Hipoteca,3,2,Casado,0
70,81193.9208519054,48024.135609846155,23,2,0.5108760069233893,1,Si,Hipoteca,6,0,Soltero,0
23,79747.7849310292,46917.023689380076,8,3,0.520366814007519,0,Si,Alquiler,2,2,Casado,0
45,75341.89351359659,23157.06873753079,23,2,0.18485984349388385,3,Si,Alquiler,4,0,Casado,0
45,15000.0,40633.3119187719,2,1,0.32467402709284887,2,Si,Alquiler,4,1,Soltero,0
61,73151.55944529915,39131.99697397004,5,2,0.5731581092449579,1,No,Alquiler,5,5,Casado,1
61,66390.0356887377,34271.22399378491,24,3,0.3785025725798569,0,No,Alquiler,3,3,Casado,0
37,15000.0,25933.66932340542,16,1,0.19518543231194482,3,No,Hipoteca,2,3,Soltero,1
47,44627.241121248044,34231.29666388496,2,1,0.23724979551902006,2,Si,Propia,5,2,Casado,0
28,56919.836233132206,69350.8149239172,1,1,0.6815996575225319,1,Si,Hipoteca,4,2,Casado,1
72,91607.92745311587,24099.45295771685,11,1,0.3092722562121705,2,No,Alquiler,0,1,Casado,0
45,68118.09644735647,54131.74839608418,23,0,0.41053625212546385,2,Si,Hipoteca,4,1,Soltero,0
42,28385.85681804246,17607.271521670715,5,3,0.0802587886463128,2,No,Alquiler,3,5,Casado,1
56,92384.71146129907,12373.706753545128,9,2,0.3525952461685484,3,Si,Hipoteca,4,3,Divorciado,0
50,51094.49406784723,95527.98690226,10,2,0.964795689065003,0,Si,Alquiler,0,2,Casado,1
18,43603.97157742271,40800.48393978487,15,0,0.7578746987912607,0,No,Propia,4,2,Divorciado,1
74,41822.04508527969,41350.26922579227,26,3,0.45083882749509824,0,Si,Alquiler,1,1,Soltero,0
44,15000.0,41904.555436684044,15,0,0.7230365766265592,1,No,Hipoteca,1,2,Soltero,1
74,47255.76240459644,58145.99413069177,23,3,0.5206883147306776,4,Si,Alquiler,5,3,Soltero,1
69,62437.13143264144,38156.200292355075,17,2,0.8651785495479345,1,Si,Alquiler,2,4,Soltero,0
30,40365.4168118696,46324.437451143844,26,1,0.5334082814438272,0,Si,Propia,8,0,Soltero,1
58,60511.31193118896,8828.634434869546,21,1,0.6679970791885843,2,No,Hipoteca,5,2,Casado,0
20,28390.22322714548,49678.47074488904,22,2,0.0,0,Si,Propia,3,5,Casado,1
56,46476.8021430595,25264.78883924918,23,1,0.47722098303188415,1,No,Alquiler,6,2,Soltero,0
23,57913.5081652158,43434.84964383746,8,2,0.27735017030990294,0,Si,Alquiler,4,2,Soltero,0
25,54741.52192658552,0.0,20,3,0.5122089121214702,3,Si,Hipoteca,2,1,Soltero,1
44,15000.0,42603.59184730227,26,2,0.5045354427437221,0,Si,Alquiler,5,7,Casado,1
26,39024.85122821928,0.0,18,0,0.6767467437391725,3,Si,Alquiler,2,2,Casado,1
54,91936.57325781515,24481.690591276463,1,1,0.608958467195081,1,Si,Propia,2,3,Casado,0
50,37688.84814173706,0.0,23,0,0.11812850376421241,2,No,Propia,2,1,Casado,0
68,50395.188602795984,42660.73452501052,0,3,0.029839699095370154,1,Si,Alquiler,2,3,Casado,0
59,47831.10623627639,31385.397623517503,25,4,0.35898170079643765,0,Si,Propia,3,1,Casado,0
61,89205.99397299127,14584.25193919447,15,3,0.5501874508183252,0,Si,Alquiler,3,1,Casado,0
41,82259.20305486675,58688.16090069656,21,0,0.5268338922949062,0,No,Propia,5,1,Casado,1
32,70188.27499547024,12066.670113332366,17,3,0.41343568358046645,0,Si,Hipoteca,2,4,Casado,0
71,25668.942165686658,0.0,2,2,0.5228370690304235,3,No,Hipoteca,3,1,Casado,1
49,58979.576229802,40272.700677303044,23,4,0.5644724625986457,2,Si,Alquiler,2,4,Soltero,0
49,64198.54357687829,0.0,0,1,0.41364775371948365,0,Si,Propia,5,2,Casado,0
41,32534.879110098642,12699.807139783152,5,3,0.5243334125396073,1,No,Propia,2,2,Casado,1
58,28237.072353807776,19653.068541214438,18,1,0.5419983778083934,1,No,Alquiler,5,1,Soltero,1
69,92625.35368017576,1520.1230060797643,21,2,0.3930222666308816,0,Si,Hipoteca,1,2,Soltero,0
66,42479.91719457678,20125.448278835585,18,2,0.6958715842648993,0,Si,Hipoteca,1,7,Casado,1
66,90374.4204727787,1894.3622549022075,10,2,0.16030602946147537,4,No,Alquiler,4,1,Soltero,1
69,74927.34388736334,33247.66370266094,26,6,0.7300875852067813,0,No,Propia,2,1,Casado,0
29,60196.91955938304,5425.094884956226,7,1,0.609022930646479,0,Si,Propia,2,2,Casado,0
56,61313.28590898712,30602.92797564029,4,2,0.83185634559384,1,Si,Propia,3,4,Casado,0
19,15000.0,53240.154085424205,19,2,0.09616873432506601,1,Si,Propia,4,1,Casado,0
20,55169.36949586041,45647.45540584327,8,1,0.3297441173288996,1,Si,Propia,4,1,Soltero,0
66,85425.51032454066,28365.786157168437,14,1,0.49645186974358524,1,Si,Propia,3,2,Casado,0
54,67033.48757964022,10225.253631603635,20,2,0.45163022201801073,1,Si,Alquiler,6,1,Casado,0
66,53858.41717661026,33183.54231845162,27,1,0.31360345522145283,1,No,Propia,3,0,Soltero,0
73,92798.42989542574,16085.61751065829,13,5,0.46138494646112116,0,Si,Alquiler,1,2,Soltero,0
34,45373.9819334799,34022.46917403052,3,1,0.6491759883281056,0,Si,Propia,0,3,Casado,0
66,34511.10812445789,0.0,23,0,0.428196532908521,1,Si,Hipoteca,6,4,Casado,0
19,53845.79790195642,46145.221126712844,23,4,0.12703795566166143,0,Si,Propia,5,2,Soltero,0
19,69161.6842027899,30664.331260262952,7,2,0.8109586035209372,1,Si,Propia,3,1,Divorciado,0
45,15000.0,74170.33360018347,19,2,0.20823080108020608,2,Si,Propia,1,0,Casado,0
71,57121.716087260436,56121.229236854524,28,2,0.15639669390017275,1,Si,Hipoteca,1,0,Soltero,0
40,70258.62538840776,41323.73872842113,16,1,0.25490246906499114,0,Si,Alquiler,1,2,Soltero,0
54,43258.95936757848,27520.140525848623,1,1,0.27704351074350064,0,No,Alquiler,1,2,Divorciado,0
49,77674.11915756605,15407.912725966686,19,3,0.4551257632439971,4,Si,Hipoteca,3,2,Casado,1
50,66029.66656027676,48848.1859006827,15,1,0.9219884554978481,2,No,Hipoteca,1,3,Soltero,1
18,103534.57796277694,25410.604173605763,9,0,0.2209959710474202,0,Si,Propia,2,1,Soltero,0
36,31234.927560469623,53367.292658966,1,7,0.6188575360646069,1,No,Alquiler,7,3,Casado,1
19,70767.74626240223,38016.46327470571,10,2,0.7902111710217387,0,Si,Hipoteca,4,1,Soltero,0
70,24566.90230506488,38159.94254499527,9,1,0.31524719837418913,1,Si,Alquiler,2,1,Soltero,0
61,15000.0,41890.522539359226,29,2,0.38007117799584134,1,No,Propia,3,3,Casado,1
43,15000.0,11607.461231248857,29,0,0.4610846832725392,2,Si,Hipoteca,2,4,Casado,0
49,63458.100559923165,9557.275122527546,18,2,0.30871360927729236,0,Si,Alquiler,2,4,Divorciado,0
23,54606.19784860256,8865.811032735506,24,3,0.03675424535513405,1,Si,Hipoteca,3,5,Casado,0
49,38023.723565956156,50949.93829751981,24,2,0.6704522120912251,1,Si,Alquiler,3,2,Soltero,1
72,15000.0,11085.568249630545,13,1,0.4316263022008236,0,Si,Alquiler,2,3,Soltero,0
21,32740.334346533095,13576.80583609327,10,1,0.2871386131670925,0,Si,Alquiler,1,0,Casado,0
72,50102.325191886404,40750.34253946285,8,2,0.3912681744365059,0,No,Hipoteca,5,2,Casado,0
28,69829.23416982745,24959.01750730288,6,2,0.3368401151497756,0,Si,Alquiler,5,3,Casado,0
73,49586.60624380936,22404.115158160883,14,5,0.5184947406027149,0,Si,Propia,3,2,Soltero,0
34,56301.50856763194,20668.900623461603,19,0,0.2201661813797139,2,Si,Alquiler,2,0,Soltero,0
